,Component 1,Component 2
823,1.6510904,-3.0898495
824,5.1139646,1.8252226
825,-11.250551,14.430674
826,10.591238,-0.20038305
827,-7.5811515,7.9505177
828,-0.97964156,-2.2850118
829,-7.4574513,10.056312
830,-6.467522,-8.414293
831,2.6918707,1.7482471
832,3.1877537,3.5639658
833,3.4910188,4.775632
834,0.19836193,1.5670313
835,2.8041513,2.5363643
836,5.4966607,0.81553453
837,1.8753682,-4.4853735
838,4.0812483,2.7893696
839,-7.6594954,9.524291
840,-2.3158784,3.6275797
841,-7.4258604,-6.8521104
842,3.0908606,2.4505496
843,11.842814,-1.3399408
844,0.47420144,6.665836
845,1.2121164,-2.1192682
846,-7.204127,7.2932067
847,9.938721,-1.0449171
848,3.4037173,0.14531009
849,-0.9728185,-2.2687552
850,6.0116982,-0.16661881
851,-4.8846564,6.5783534
852,5.9309325,2.0226526
853,-4.8455567,5.5395713
854,0.055172447,-3.2674756
855,4.5183215,2.2158654
856,7.03481,0.35925853
857,4.186125,6.4907537
858,0.78615856,-3.7574923
859,-0.97116315,-2.0679862
860,1.8531567,1.3491396
861,7.290497,-0.19633861
862,4.7125936,3.4262862
863,10.230339,-1.2041099
864,10.874395,0.29926267
865,11.106285,-1.147954
866,-4.0166326,-5.528852
867,-1.2752838,-1.4422747
868,4.446728,2.072684
869,-4.459781,6.360748
870,0.8106025,-3.2960548
871,3.634706,1.9497515
872,9.831539,-0.85657185
873,3.8123522,4.237946
874,-5.060669,5.4050713
875,4.6360226,2.0717256
876,2.6305487,3.2794342
877,-6.8827534,8.312691
878,2.223932,3.8898015
879,-11.448258,14.516262
880,-0.33542958,-3.2392993
881,-5.39585,-6.9446115
882,-7.3923793,-6.590679
883,3.8175087,4.0599093
884,1.8312992,2.1016219
885,5.101178,2.6522415
886,7.138888,1.2015429
887,-8.389189,9.697093
888,6.9709387,-0.11422061
889,-0.14832795,-4.2513213
890,0.0757693,-3.3690605
891,1.5161089,-2.4929385
892,5.583554,1.4917256
893,0.12907757,-2.858968
894,0.3909704,-0.99110687
895,0.62440455,-3.0911617
896,-5.7399917,-6.5854855
897,8.679886,0.26084867
898,-1.7790072,-3.27887
899,-5.795195,-5.0427566
900,5.8526692,0.3883769
901,3.262857,2.6224186
902,3.724973,4.1923785
903,3.7671914,2.2930198
904,-7.330924,-10.226601
905,1.2353227,1.2217488
906,6.928871,-0.39511588
907,10.829106,-0.9509272
908,-5.9684143,7.3054414
909,-8.181116,9.194924
910,9.223525,-0.014328567
911,6.4190254,1.1574128
912,-6.4095507,10.850817
913,0.47141942,-4.0923285
914,4.252284,1.7345577
915,4.363661,3.2382972
916,2.4407756,1.1173973
917,3.1719031,2.6870565
918,8.531192,1.5282766
919,3.2527275,3.871591
920,6.090395,-0.12912011
921,-2.9969316,-3.018253
922,11.284035,0.69804144
923,7.257497,3.7955008
924,-8.44214,8.465536
925,-7.2483253,-6.5052943
926,8.9436655,0.3947002
927,7.458917,1.390558
928,0.8470443,-0.04249012
929,-4.8080406,-5.2603493
930,-1.5438926,-0.8753642
931,-6.3101664,-7.1439366
932,1.0019175,-3.6412692
933,-9.958251,11.189475
934,-1.9457386,-5.6899104
935,3.9933987,3.1860728
936,7.1235003,0.33527946
937,8.081917,0.07688168
938,-7.453025,-10.031745
939,3.5942879,2.5352042
940,-5.740909,-8.181796
941,0.8850088,-3.6498823
942,4.7933545,-0.43277135
943,-7.774088,-9.938978
944,11.727021,0.3957127
945,-4.306833,-6.5340166
946,7.549631,0.061272178
947,-6.2132115,3.4775174
948,-1.2170104,-3.6845546
949,-7.3048673,6.8656764
950,-7.292221,-9.342031
951,4.104398,1.976624
952,6.7647343,1.2410507
953,1.7528596,1.0644976
954,-8.572312,11.583085
955,-5.3188314,-5.477682
956,8.049571,-0.2831606
957,-3.5244167,-7.2947683
958,3.9437275,3.8235452
959,-1.9644252,-2.7127275
960,4.5611496,2.4794624
961,-4.5629916,-7.8427043
962,-0.5961447,-3.345451
963,-5.090622,5.5635543
964,3.0927033,2.919988
